주소,latitude,longitude
서울특별시 마포구 마포대로1길 9,37.5390898,126.9438503
서울특별시 중구 을지로 30,37.56525545,126.98062537406909
서울특별시 성동구 광나루로4가길 23,37.5490207,127.0548956
서울특별시 서대문구 충정로2가 78-13,37.56423,126.96346
서울특별시 서대문구 남가좌2동 3-75,37.5788965,126.92073815620515
서울특별시 서초구 반포동 49-8,37.50312,127.0014
서울특별시 송파구 올림픽로 424 ,37.5238469,127.12424962310601
서울특별시 송파구 백제고분로 242,37.5020547,127.0932723
서울특별시 양천구 신정6동 322-5,37.51577335,126.86936343621227
서울특별시 양천구 곰달래로10길 4,37.5286371,126.8369957
서울특별시 양천구 중앙로29길 41,37.5214533,126.8476679
서울특별시 강남구 개포로 607,37.492155350000004,127.07370879999999
서울특별시 양천구 목동중앙로 25 ,37.5324073,126.8683621
서울특별시 영등포구 의사당대로 22,37.5217314,126.9243328
서울특별시 영등포구 영신로 10길 15,0.0,0.0
서울특별시 마포구 성산로 128,37.56382245,126.9079893676099
서울특별시 강남구 삼성로 628,37.5067702,127.0567976
서울특별시 용산구 한강대로 62다길 42,0.0,0.0
서울특별시 강남구 광평로 126,37.48336815,127.08649439999999
서울특별시 강남구 개포로 625,37.4890796,127.0659768
서울특별시 노원구 노원로75,0.0,0.0
서울특별시 마포구 성암로 197,37.5783323,126.8963494
서울특별시 마포구 매봉산로 80,37.5782684,126.8935001
서울특별시 서초구 방배중앙로 193,37.4980529,126.9850847
서울특별시 성동구 성덕정길 115,37.5371459,127.0576556
서울특별시 성동구 무학봉15길 48,37.5617625,127.0309913
서울특별시 성동구 둘레길 47-5,37.5351632,127.054236
서울특별시 성동구 독서당로63길 40,37.5540844,127.0329316
서울특별시 양천구 목동동로81,0.0,0.0
서울특별시 중구 청계천로 30,37.5692729,127.0066063
서울특별시 은평구 통일로 1050,37.6383051,126.917868
서울특별시 강남구 강남대로120길 33,37.5076284,127.0284892
서울특별시 강남구 선릉로108길 27,37.510612,127.0481189
서울특별시 마포구 동교로1길 39,37.5536964,126.8998196
서울특별시 강남구 압구정로 161,37.52680635,127.02708275823193
